source_title,cor_section,text
a-fish-story,1,"Perhaps you think that fishes were always fishes, and never lived
anywhere except in the water, but if you went to Australia and talked to
the black people in the sandy desert in the centre of the country, you
would learn something quite different. They would tell you that long,
long ago you would have met fishes on the land, wandering from place to
place, and hunting all sorts of animals, and if you consider how fishes
are made, you will understand how difficult this must have been and how
clever they were to do it. Indeed, so clever were they that they might
have been hunting still if a terrible thing had not happened."
a-fish-story,2,"One day the whole fish tribe came back very tired from a hunting
expedition, and looked about for a nice, cool spot in which to pitch
their camp. It was very hot, and they thought that they could not find
a more comfortable place than under the branches of a large tree which
grew by the bank of a river. So they made their fire to cook some food,
right on the edge of a steep bank, which had a deep pool of water lying
beneath it at the bottom. While the food was cooking they all stretched
themselves lazily out under the tree, and were just dropping off to
sleep when a big black cloud which they had never noticed spread over
the sun, and heavy drops of rain began to fall, so that the fire was
almost put out, and that, you know, is a very serious thing in savage
countries where they have no matches, for it is very hard to light it
again. To make matters worse, an icy wind began to blow, and the poor
fishes were chilled right through their bodies.

'This will never do,' said Thuggai, the oldest of the fish tribe. 'We
shall die of cold unless we can light the fire again,' and he bade his
sons rub two sticks together in the hope of kindling a flame, but though
they rubbed till they were tired, not a spark could they produce."
a-fish-story,3,"'Let me try,' cried Biernuga, the bony fish, but he had no better luck,
and no more had Kumbal, the bream, nor any of the rest.

'It is no use,' exclaimed Thuggai, at last. 'The wood is too wet. We
must just sit and wait till the sun comes out again and dries it.'
Then a very little fish indeed, not more than four inches long and the
youngest of the tribe, bowed himself before Thuggai, saying, 'Ask my
father, Guddhu the cod, to light the fire. He is skilled in magic more
than most fishes.' So Thuggai asked him, and Guddhu stripped some pieces
of bark off a tree, and placed them on top of the smouldering ashes.
Then he knelt by the side of the fire and blew at it for a long while,
till slowly the feeble red glow became a little stronger and the edges
of the bark showed signs of curling up. When the rest of the tribe saw
this they pressed close, keeping their backs towards the piercing wind,
but Guddhu told them they must go to the other side, as he wanted the
wind to fan his fire. By and by the spark grew into a flame, and a merry
crackling was heard."
a-fish-story,4,"'More wood,' cried Guddhi, and they all ran and gathered wood and heaped
it on the flames, which leaped and roared and sputtered.

'We shall soon be warm now,' said the people one to another. 'Truly
Guddhu is great'; and they crowded round again, closer and closer.
Suddenly, with a shriek, a blast of wind swept down from the hills
and blew the fire out towards them. They sprang back hurriedly, quite
forgetting where they stood, and all fell down the bank, each tumbling
over the other, till they rolled into the pool that lay below. Oh, how
cold it was in that dark water on which the sun never shone! Then in an
instant they felt warm again, for the fire, driven by the strong wind,
had followed them right down to the bottom of the pool, where it burned
as brightly as ever. And the fishes gathered round it as they had done
on the top of the cliff, and found the flames as hot as before, and that
fire never went out, like those upon land, but kept burning for ever.
So now you know why, if you dive deep down below the cold surface of
the water on a frosty day, you will find it comfortable and pleasant
underneath, and be quite sorry that you cannot stay there."
a-french-puck,1,"Among the mountain pastures and valleys that lie in the centre of France
there dwelt a mischievous kind of spirit. It was this spirit's delight to play
tricks on everybody, and particularly on the shepherds and the cowboys.
They never knew when they were safe from him, as he could change himself
into a man, woman or child, a stick, a goat, a ploughshare. Indeed,
there was only one thing whose shape he could not take, and that was a
needle. At least, he could transform himself into a needle, but try as
he might he never was able to imitate the hole. Every woman would
have found him out at once, and this he knew.

Now the hour oftenest chosen by this naughty sprite (whom we will
call Puck) for performing his pranks was about midnight. This was just when the
shepherds and cowherds, tired out with their long day's work, were sound
asleep. Then he would go into the cowsheds and unfasten the chains that
fixed each beast in its own stall, and let them fall with a heavy clang
to the ground. The noise was so loud that it was certain to awaken the
cowboys, however fatigued they might be. They dragged themselves
wearily to the stable to put back the chains. But no sooner had they
returned to their beds than the same thing happened again, and so on
till the morning. Or perhaps Puck would spend his night in plaiting
together the manes and tails of two of the horses, so that it would take
the grooms hours of labour to get them right in the morning. Puck,
hidden among the hay in the loft, would peep out to watch them, enjoying
himself amazingly all the time."
a-french-puck,2,"One evening more than eighty years ago a man named William was passing
along the bank of a stream when he noticed a sheep who was bleating
loudly. William thought it must have strayed from the flock, and that he
had better take it home with him till he could discover its owner. So
he went up to where it was standing, and as it seemed so tired that it
could hardly walk, he hoisted it on his shoulders and continued on
his way. The sheep was pretty heavy, but the good man was merciful and
staggered along as best he could under his load.

'It is not much further,' he thought to himself as he reached an avenue
of walnut trees, when suddenly a voice spoke out from over his head, and
made him jump.

'Where are you?' said the voice, and the sheep answered:

'Here on the shoulders of a donkey.'

In another moment the sheep was standing on the ground and William was
running towards home as fast as his legs would carry him. But as he
went, a laugh, which yet was something of a bleat, rang in his ears.
Though he tried not to hear, the words reached him, 'Oh, dear! What fun
I have had, to be sure!'"
a-french-puck,3,"Puck was careful not always to play his tricks in the same place, but
visited one village after another, so that everyone trembled lest he
should be the next victim. After a bit he grew tired of cowboys and
shepherds, and wondered if there was no one else to give him some sport.
At length he was told of a young couple who were going to the nearest
town to buy all that they needed for setting up house. Quite certain
that they would forget something which they could not do without, Puck
waited patiently till they were jogging along in their cart on their
return journey. He changed himself into a fly in order to overhear
their conversation.

For a long time it was very dull--all about their wedding day next
month, and who were to be invited. This led the bride to her wedding
dress, and she gave a little scream.

'Just think! Oh! how could I be so stupid! I have forgotten to buy the
different coloured reels of cotton to match my clothes!'

'Dear, dear!' exclaimed the young man. 'That is unlucky. Didn't you
tell me that the dressmaker was coming in to-morrow?'

'Yes, I did,' and then suddenly she gave another little scream, which
had quite a different sound from the first. 'Look! Look!'"
a-french-puck,4,"The bridegroom looked, and on one side of the road he saw a large ball
of thread of all colours. All the colours, that is, of the dresses
that were tied on to the back of the cart.

'Well, that is a wonderful piece of good fortune,' cried he, as he
sprang out to get it. 'One would think a fairy had put it there on
purpose.'

'Perhaps she has,' laughed the girl. As she spoke she seemed to hear
an echo of her laughter coming from the horse, but of course that was
nonsense.

The dressmaker was delighted with the thread that was given her. It
matched the stuffs so perfectly, and never tied itself in knots, or
broke perpetually, as most thread did. She finished her work much
quicker than she expected and the bride said she was to be sure to come
to the church and see her in her wedding dress.

There was a great crowd assembled to witness the ceremony. The young
people were immense favourites in the neighbourhood, and their parents
were very rich. The doors were open, and the bride could be seen from
afar, walking under the chestnut avenue."
a-french-puck,5,"'What a beautiful girl!' exclaimed the men. 'What a lovely dress!'
whispered the women. But just as she entered the church and took the
hand of the bridegroom, who was waiting for her, a loud noise was heard.

'Crick! crack! Crick! crack!' and the wedding garments fell to the
ground, to the great confusion of the wearer.

Not that the ceremony was put off for a little thing like that! Cloaks
in profusion were instantly offered to the young bride, but she was so
upset that she could hardly keep from tears. One of the guests, more
curious than the rest, stayed behind to examine the dress, determined,
if she could, to find out the cause of the disaster.

'The thread must have been rotten,' she said to herself. 'I will see if
I can break it.' But search as she would she could find none.

The thread had vanished!"
a-legend-of-confucius,1,"When Confucius came to the earth, the Kilin, that strange beast which
is the prince of all four-footed animals, and only appears when there
is a great man on earth, sought the child and spat out a jade whereon
was written: ""Son of the Watercrystal you are destined to become an
uncrowned king!"" And Confucius grew up, studied diligently, learned
wisdom and came to be a saint. He did much good on earth, and ever
since his death has been reverenced as the greatest of teachers and
masters. He had foreknowledge of many things. And even after he had
died he gave evidence of this."
